source_reference_id,approval_source,proposed_product_id,business_line,product_name,brand_id,category_id,sale_price_cop,image_sha256,proposed_sku,proposed_catalog_code,proposed_slug,sku_resolution_status,catalog_code_resolution_status,slug_resolution_status,product_id_resolution_status,eligibility_status
CATV1-P006-R1L,POLICY_APPROVED,69016840-da44-3ec0-f6dc-bf0551288a47,BEAUTY_CARE,SHAMPOO KABA,23363ac3-3646-47d3-88d8-30b13a62d37d,,46000,8ead3e09e31a064951c05a0198ed313abdf4a2dfd0b6bdf0aae92eb38cc9e9bc,BC-20000,BCV5-0001,beauty-care-shampoo-kaba,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P006-R1R,POLICY_APPROVED,f4357745-adb2-7bd0-5a1c-f9d2cc253786,BEAUTY_CARE,ACONDICIONADOR,23363ac3-3646-47d3-88d8-30b13a62d37d,,41000,6ae76c265454171c96a32d06690b2419b45667a980c63fd00ae9decbc8b2c9a0,BC-20001,BCV5-0002,beauty-care-acondicionador,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P006-R2L,POLICY_APPROVED,bae91b27-4bc2-3db7-7bcb-5ff49fd3066c,BEAUTY_CARE,BIOMASCARILLA,23363ac3-3646-47d3-88d8-30b13a62d37d,,46000,0c5b4f9ae556414cc43c164a178a07a108d1207497fb3ed4372be6f84587ebde,BC-20002,BCV5-0003,beauty-care-biomascarilla,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P006-R2R,POLICY_APPROVED,673cea51-d3ff-3cc4-a7f3-0df549eba28c,BEAUTY_CARE,REPOLARIZADOR,23363ac3-3646-47d3-88d8-30b13a62d37d,,51000,98727f28c5adf83ae4c7c80d53098d0fe291bfdc3daf84823db11e7ef477da57,BC-20003,BCV5-0004,beauty-care-repolarizador,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P006-R3L,POLICY_APPROVED,77a924c9-99b2-0a44-6f29-7f447ee96cf6,BEAUTY_CARE,TONICO DE CRECIMIENTO,23363ac3-3646-47d3-88d8-30b13a62d37d,,46000,6193f75dcebf5d4379406626aacc22fd7509d22a20392b92c69e6749a61bfb7c,BC-20004,BCV5-0005,beauty-care-tonico-de-crecimiento,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P006-R3R,POLICY_APPROVED,7d950f19-cdc7-aa5e-0c62-d656347a288d,BEAUTY_CARE,LOCION ASTRINGENTE,23363ac3-3646-47d3-88d8-30b13a62d37d,,61000,751a34825ceeab4cbc240a0cebd7dc3aa2c86ca7608c817ec6ad8867845cf735,BC-20005,BCV5-0006,beauty-care-locion-astringente,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P007-R1L,POLICY_APPROVED,19839e22-ec06-dc7f-b133-d0864de5d68b,BEAUTY_CARE,DERMOACLARANTE,23363ac3-3646-47d3-88d8-30b13a62d37d,,61000,6c614eda651d32003fac5832af0c367bacd35e2906f58965d0907a4c7e3cb14a,BC-20006,BCV5-0007,beauty-care-dermoaclarante,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P007-R1R,POLICY_APPROVED,cd855167-2338-0311-6fab-f1bb427b38fa,BEAUTY_CARE,CREMA TENSORA,23363ac3-3646-47d3-88d8-30b13a62d37d,,61000,e786bf686eb91387c69e3c06333bbecd476fb21cd2fd2383417b5419396345dd,BC-20007,BCV5-0008,beauty-care-crema-tensora,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P007-R2L,POLICY_APPROVED,f45d20fa-a67d-35ae-510c-871a5693550c,BEAUTY_CARE,PERFUMEPARA ELCABELLO,23363ac3-3646-47d3-88d8-30b13a62d37d,,51000,4fa8527e7ab91c4bab4cb2ed3ca0b3a4887c3d2a13747952192876569bc83314,BC-20008,BCV5-0009,beauty-care-perfumepara-elcabello,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
CATV1-P007-R2R,POLICY_APPROVED,ac71a320-037b-7278-4d4b-031dda93393d,BEAUTY_CARE,TONICO DESPIGMENTANTE,23363ac3-3646-47d3-88d8-30b13a62d37d,,61000,962738081b2af872b16f2b6b62ec27016304f5012daa41954721251e076c9565,BC-20009,BCV5-0010,beauty-care-tonico-despigmentante,RESERVED_IMPORT_RANGE,GENERATED_CANONICAL_SOURCE_CODE,DETERMINISTIC_CANONICAL_SLUG,DETERMINISTIC_SOURCE_UUID,READY_CREATE
