source_reference_id,candidate_status,product_name,source_page,source_slot,brand_id,canonical_brand_name,category_id,category_label,sale_price_cop,image_sha256,catalog_audit_review_reasons,supplier_evidence_status,current_identity_group_size,proposal,confidence,reasons,requires_human_approval,business_line
CATV1-P011-R1L,REVIEW_REQUIRED,SHAMPOO ROMERO,11,R1L,57bbddd8-dfe8-44db-b492-158e4a50894b,La Receta CBD,,,51000,8ccce9904b7e57dbe9db8b0380c23533386d8b8cecc43a381a2ce79fcca97a7a,BRAND_NAME_UNRESOLVED,SUPPLIER_AMBIGUOUS_NAME_ONLY,1,APPROVE_CREATE,92,"[""CANONICAL_TAXONOMY_NOW_RESOLVES_BRAND_OR_CONTEXT"", ""UNIQUE_CURRENT_IDENTITY"", ""ORIGINAL_AUDIT_BRAND_FLAG_OBSOLETED_BY_TAXONOMY_REVIEW""]",True,BEAUTY_CARE
CATV1-P011-R1R,REVIEW_REQUIRED,SHAMPOO ARGAN,11,R1R,57bbddd8-dfe8-44db-b492-158e4a50894b,La Receta CBD,,,41000,307211268d350970a7d1245ec271211dbc90ce40b383a5eb418b6bded80d343a,BRAND_NAME_UNRESOLVED,NO_SUPPLIER_EXACT,1,APPROVE_CREATE,92,"[""CANONICAL_TAXONOMY_NOW_RESOLVES_BRAND_OR_CONTEXT"", ""UNIQUE_CURRENT_IDENTITY"", ""ORIGINAL_AUDIT_BRAND_FLAG_OBSOLETED_BY_TAXONOMY_REVIEW""]",True,BEAUTY_CARE
CATV1-P011-R2L,REVIEW_REQUIRED,ACONDICIONADOR NUEVO,11,R2L,57bbddd8-dfe8-44db-b492-158e4a50894b,La Receta CBD,,,51000,2848c574adbcba94f5d4662708e162c88b9cdd5354d21fac4fb7777f59bec420,BRAND_NAME_UNRESOLVED,NO_SUPPLIER_EXACT,1,APPROVE_CREATE,92,"[""CANONICAL_TAXONOMY_NOW_RESOLVES_BRAND_OR_CONTEXT"", ""UNIQUE_CURRENT_IDENTITY"", ""ORIGINAL_AUDIT_BRAND_FLAG_OBSOLETED_BY_TAXONOMY_REVIEW""]",True,BEAUTY_CARE
CATV1-P011-R2R,REVIEW_REQUIRED,SHAMPOO ANTICASPA,11,R2R,57bbddd8-dfe8-44db-b492-158e4a50894b,La Receta CBD,,,51000,c78df799d5e460cd6dea90f3a2ffd9152c31c0699b7653a91aba3ffacbaec724,BRAND_NAME_UNRESOLVED,NO_SUPPLIER_EXACT,1,APPROVE_CREATE,92,"[""CANONICAL_TAXONOMY_NOW_RESOLVES_BRAND_OR_CONTEXT"", ""UNIQUE_CURRENT_IDENTITY"", ""ORIGINAL_AUDIT_BRAND_FLAG_OBSOLETED_BY_TAXONOMY_REVIEW""]",True,BEAUTY_CARE
CATV1-P011-R3L,REVIEW_REQUIRED,GOTAS CBD,11,R3L,57bbddd8-dfe8-44db-b492-158e4a50894b,La Receta CBD,,,36000,290324bf5d500a4ba04638973d85b64f2be244e34b91eb0a833a2d6cb6ac0371,BRAND_NAME_UNRESOLVED,SUPPLIER_NAME_ONLY,1,APPROVE_CREATE,92,"[""CANONICAL_TAXONOMY_NOW_RESOLVES_BRAND_OR_CONTEXT"", ""UNIQUE_CURRENT_IDENTITY"", ""ORIGINAL_AUDIT_BRAND_FLAG_OBSOLETED_BY_TAXONOMY_REVIEW""]",True,BEAUTY_CARE
CATV1-P011-R3R,REVIEW_REQUIRED,TONICO ANTICAIDA,11,R3R,57bbddd8-dfe8-44db-b492-158e4a50894b,La Receta CBD,,,51000,bfe56039331447140e4fb34f9bd79ba65f9d4c204d66e057cb840fe288a65f3c,BRAND_NAME_UNRESOLVED,NO_SUPPLIER_EXACT,1,APPROVE_CREATE,92,"[""CANONICAL_TAXONOMY_NOW_RESOLVES_BRAND_OR_CONTEXT"", ""UNIQUE_CURRENT_IDENTITY"", ""ORIGINAL_AUDIT_BRAND_FLAG_OBSOLETED_BY_TAXONOMY_REVIEW""]",True,BEAUTY_CARE
CATV1-P012-R1L,REVIEW_REQUIRED,EXFOLIANTE CAPILAR,12,R1L,57bbddd8-dfe8-44db-b492-158e4a50894b,La Receta CBD,,,66000,2fc027150227f2c79879a76a50e5b98811edd052ff22c14ada37d2d37e2d687f,BRAND_NAME_UNRESOLVED,SUPPLIER_NAME_ONLY,1,APPROVE_CREATE,92,"[""CANONICAL_TAXONOMY_NOW_RESOLVES_BRAND_OR_CONTEXT"", ""UNIQUE_CURRENT_IDENTITY"", ""ORIGINAL_AUDIT_BRAND_FLAG_OBSOLETED_BY_TAXONOMY_REVIEW""]",True,BEAUTY_CARE
CATV1-P014-R1L,REVIEW_REQUIRED,BRONCEADOR ZANAHORIA,14,R1L,03a73a7c-1a85-4429-b459-c68ad93c9664,D'Luchi,,,46000,21e454637dc6e8cb2c608b04f040f82c11b6e16821d2587d64b6b5ac4e313f83,BRAND_NAME_UNRESOLVED,NO_SUPPLIER_EXACT,1,APPROVE_CREATE,92,"[""CANONICAL_TAXONOMY_NOW_RESOLVES_BRAND_OR_CONTEXT"", ""UNIQUE_CURRENT_IDENTITY"", ""ORIGINAL_AUDIT_BRAND_FLAG_OBSOLETED_BY_TAXONOMY_REVIEW""]",True,BEAUTY_CARE
CATV1-P014-R1R,REVIEW_REQUIRED,BRONCEADOR COCO,14,R1R,03a73a7c-1a85-4429-b459-c68ad93c9664,D'Luchi,,,46000,798df4f214568d7ea19c358aab58aebf9efa56a1c7ef403eabb60555858d5814,BRAND_NAME_UNRESOLVED,NO_SUPPLIER_EXACT,1,APPROVE_CREATE,92,"[""CANONICAL_TAXONOMY_NOW_RESOLVES_BRAND_OR_CONTEXT"", ""UNIQUE_CURRENT_IDENTITY"", ""ORIGINAL_AUDIT_BRAND_FLAG_OBSOLETED_BY_TAXONOMY_REVIEW""]",True,BEAUTY_CARE
CATV1-P014-R2L,REVIEW_REQUIRED,LOCION DE ORO,14,R2L,03a73a7c-1a85-4429-b459-c68ad93c9664,D'Luchi,,,16000,7c5f45e722cef477cf4c62d2bf5d1a29ff9c91d89eb43efcdf76861e38c009ff,BRAND_NAME_UNRESOLVED,NO_SUPPLIER_EXACT,1,APPROVE_CREATE,92,"[""CANONICAL_TAXONOMY_NOW_RESOLVES_BRAND_OR_CONTEXT"", ""UNIQUE_CURRENT_IDENTITY"", ""ORIGINAL_AUDIT_BRAND_FLAG_OBSOLETED_BY_TAXONOMY_REVIEW""]",True,BEAUTY_CARE
