identity_key,member_count,member_reference_ids,statuses,product_name,canonical_brand_name,category_label,prices_cop,pages,image_sha256,perceptual_hash_distance_min,perceptual_hash_distance_max,proposal,confidence,reasons,requires_human_approval,business_line
BEAUTY_CARE|acondi cebolla|7d7ace64-4b5a-46ff-99e8-ffe658fe617f,2,"[""CATV1-P033-R1R"", ""CATV1-P034-R2R""]","[""CONFLICT"", ""CONFLICT""]",ACONDI CEBOLLA,Milagros,,"[37900, 16000]","[33, 34]","[""58571a350d02e52e012436d83967d069148c6bce3516c329f52a081c6d6ec989"", ""3055220c277497c8b39d435bb335a4f42cba90c56f7c25715bd3c1cf2934e5a1""]",11,11,VARIANT_SET,65,"[""SAME_NAME_TAXONOMY"", ""NEARBY_CATALOG_PLACEMENT"", ""PRICE_VARIATION"", ""VISUAL_VARIATION""]",True,BEAUTY_CARE
BEAUTY_CARE|acondi herbal|7d7ace64-4b5a-46ff-99e8-ffe658fe617f,2,"[""CATV1-P029-R3R"", ""CATV1-P034-R3L""]","[""CONFLICT"", ""CONFLICT""]",ACONDI HERBAL,Milagros,,"[37900, 16000]","[29, 34]","[""1f9fecfbacf58afe1e457162b70a934cec9ed796bce90717aede70ab91fb91cd"", ""6110dade6f28b3ba29fc9fa79a7614ee70169c121e0045559ade97c81b41c9b7""]",10,10,DEFER,40,"[""PRICE_VARIATION"", ""VISUAL_VARIATION"", ""INSUFFICIENT_IDENTITY_EVIDENCE""]",True,BEAUTY_CARE
BEAUTY_CARE|base matte og|4ef7e563-2744-446c-804d-7fc5952ec59a,2,"[""CATV1-P145-R3L"", ""CATV1-P146-R1L""]","[""CONFLICT"", ""CONFLICT""]",BASE MATTE OG,Outdoor Girl,,"[49000, 36000]","[145, 146]","[""67108e70ffa80413d1273a1250ccff4ea2b7464599a7f6cc64dfdf638910d826"", ""f727da2c1fa0e47b1f4772b4f973e42824045b2254236d6a80967c3146964f23""]",3,3,DUPLICATE_REFERENCE,90,"[""VERY_HIGH_VISUAL_SIMILARITY"", ""PRICE_CONFLICT""]",True,BEAUTY_CARE
BEAUTY_CARE|base|a4ed69d0-66b1-4abd-9207-5ff729babb58,2,"[""CATV1-P207-R2R"", ""CATV1-P210-R3L""]","[""REVIEW_REQUIRED"", ""REVIEW_REQUIRED""]",BASE,MONTOC,,"[60000, 53000]","[207, 210]","[""bdcfb46283277293f46a04d0f9dde7d30acbb514d01abeb8122ab49d1c41ae79"", ""9f280146b7c9bbe004f004c2dbc8918f7ab77e2a90e6772a595c65d08851d231""]",8,8,DEFER,40,"[""PRICE_VARIATION"", ""VISUAL_VARIATION"", ""INSUFFICIENT_IDENTITY_EVIDENCE""]",True,BEAUTY_CARE
BEAUTY_CARE|berry fondue|340fb06e-fd22-49ec-a967-359e83aa939b,2,"[""CATV1-P150-R3R"", ""CATV1-P152-R3L""]","[""REVIEW_REQUIRED"", ""CONFLICT""]",BERRY FONDUE,Destiny by La Segura,,"[31000, 21000]","[150, 152]","[""47d9ad00776c057aa3c32722028ae1b14c77edf43d4a9d6389752d652e991e74"", ""e2a7501aaf9db032b2d91f3c5d554a14c43d48f775ff5cff97b0b62a47744325""]",4,4,DUPLICATE_REFERENCE,80,"[""HIGH_VISUAL_SIMILARITY"", ""PRICE_CONFLICT""]",True,BEAUTY_CARE
BEAUTY_CARE|brochas nude elegance|e466082b-7532-4204-b781-94650387a81f,2,"[""CATV1-P181-R3R"", ""CATV1-P182-R2L""]","[""CONFLICT"", ""CONFLICT""]",BROCHAS NUDE ELEGANCE,Bloomshell,,"[29000, 29000]","[181, 182]","[""b3b02b51f3dc33dfaba2c12a4436d9a8369bca0ad459d25cf4d741fb6b5880b1"", ""409e97d380f06efdd280d77f99e032da09d54a642ac844f6565f8afb934ee391""]",10,10,VARIANT_SET,70,"[""SAME_NAME_TAXONOMY"", ""SAME_PRICE"", ""VISUAL_VARIATION""]",True,BEAUTY_CARE
BEAUTY_CARE|cepillo masajeador|b36e2375-b910-4030-abf2-832999885338,2,"[""CATV1-P136-R2L"", ""CATV1-P138-R3R""]","[""REVIEW_REQUIRED"", ""CONFLICT""]",CEPILLO MASAJEADOR,,CEPILLOS Y ACCESORIOS PARA EL CABELLO,"[11000, 13000]","[136, 138]","[""26a502e9f54560a1232f61ceb00ddfab54e43a2d60adb75ae95a6461a7955523"", ""78d67f4d5a0bd5be4abc53b1bae36288aeea8125e1dc790c8ea5db978ca993b4""]",4,4,DUPLICATE_REFERENCE,80,"[""HIGH_VISUAL_SIMILARITY"", ""PRICE_CONFLICT""]",True,BEAUTY_CARE
BEAUTY_CARE|color bloom|e466082b-7532-4204-b781-94650387a81f,2,"[""CATV1-P181-R1L"", ""CATV1-P193-R1R""]","[""REVIEW_REQUIRED"", ""CONFLICT""]",COLOR BLOOM,Bloomshell,,"[19000, 19000]","[181, 193]","[""44074277d49a6a2c16aa29431fc3962a768e0da4ef1b69757b21cd003c374da2"", ""eec2b343ceabb487d538039009c52822b451888c50ef9f04e0293d186e0038fd""]",4,4,DUPLICATE_REFERENCE,80,"[""HIGH_VISUAL_SIMILARITY"", ""SAME_PRICE""]",True,BEAUTY_CARE
BEAUTY_CARE|corrector miis|e137169e-b616-4487-aa3e-7637db245219,3,"[""CATV1-P229-R2R"", ""CATV1-P231-R2R"", ""CATV1-P231-R3L""]","[""CONFLICT"", ""CONFLICT"", ""CONFLICT""]",CORRECTOR MIIS,,"BASES, CORRECTORES, POLVOS, RUBORES E ILUMINADORES","[16000, 16000, 16000]","[229, 231, 231]","[""a938fd73684a03fc230e251fadf8f4398ae165f4199d6df71f7c055bfff26bcc"", ""a07c5b09ccf470fd27f97eb02ebaef4200870b9a82b3ef133571ef7b2055f276"", ""c914f52af4dead90cefec5086c2b4e893060d7017b0e70a60c828b29cc9ac433""]",8,13,VARIANT_SET,70,"[""SAME_NAME_TAXONOMY"", ""SAME_PRICE"", ""VISUAL_VARIATION""]",True,BEAUTY_CARE
BEAUTY_CARE|corrector ushas|e137169e-b616-4487-aa3e-7637db245219,2,"[""CATV1-P229-R1R"", ""CATV1-P230-R2R""]","[""CONFLICT"", ""CONFLICT""]",CORRECTOR USHAS,,"BASES, CORRECTORES, POLVOS, RUBORES E ILUMINADORES","[13000, 13000]","[229, 230]","[""5ceea7d347638d54c5703b861527f797285f19da21a012698fb127790dfd96b6"", ""6231013f429cfbaf73420550e01fe6ab6abeac27c18b9672877116d5738643a5""]",10,10,VARIANT_SET,70,"[""SAME_NAME_TAXONOMY"", ""SAME_PRICE"", ""VISUAL_VARIATION""]",True,BEAUTY_CARE
