source_reference_id,product_id,product_image_id,approval_source,derivative_sha256,derivative_size_bytes,mime_type,width,height,bucket,storage_path,local_path
CATV1-P006-R1L,69016840-da44-3ec0-f6dc-bf0551288a47,01e41359-c843-06d8-3055-33c06886d95c,POLICY_APPROVED,cbd02d91b1c254e1e67c4d9fd07387d5d01273c88a66c6e2ac2f1af9346fbd0c,1266,image/webp,345,176,lihen-product-web,products/69016840-da44-3ec0-f6dc-bf0551288a47/01e41359-c843-06d8-3055-33c06886d95c/web/cbd02d91b1c254e1e67c4d9fd07387d5d01273c88a66c6e2ac2f1af9346fbd0c.webp,web-derivatives-v1/files/01e41359-c843-06d8-3055-33c06886d95c.webp
CATV1-P006-R1R,f4357745-adb2-7bd0-5a1c-f9d2cc253786,86311c28-07c3-0a5e-4bab-f2a625c0031e,POLICY_APPROVED,06a0e2fb64cdc07b04459903234d6dfa609240449be63197387b895c791b0497,1270,image/webp,345,176,lihen-product-web,products/f4357745-adb2-7bd0-5a1c-f9d2cc253786/86311c28-07c3-0a5e-4bab-f2a625c0031e/web/06a0e2fb64cdc07b04459903234d6dfa609240449be63197387b895c791b0497.webp,web-derivatives-v1/files/86311c28-07c3-0a5e-4bab-f2a625c0031e.webp
CATV1-P006-R2L,bae91b27-4bc2-3db7-7bcb-5ff49fd3066c,312d70f9-a3af-ddf5-bc3a-b523aacd9ff4,POLICY_APPROVED,3748cb099f7bbf4fa6b7ba5a1ddfe0ab074518305bdcbbcb2ce62611f0b72f6c,1314,image/webp,345,176,lihen-product-web,products/bae91b27-4bc2-3db7-7bcb-5ff49fd3066c/312d70f9-a3af-ddf5-bc3a-b523aacd9ff4/web/3748cb099f7bbf4fa6b7ba5a1ddfe0ab074518305bdcbbcb2ce62611f0b72f6c.webp,web-derivatives-v1/files/312d70f9-a3af-ddf5-bc3a-b523aacd9ff4.webp
CATV1-P006-R2R,673cea51-d3ff-3cc4-a7f3-0df549eba28c,5f671169-a771-b861-f574-7b825a572508,POLICY_APPROVED,de6a61c361e4f5a4e13835017e9a4c21d72017f850a6977b1a19502273baace2,1506,image/webp,345,176,lihen-product-web,products/673cea51-d3ff-3cc4-a7f3-0df549eba28c/5f671169-a771-b861-f574-7b825a572508/web/de6a61c361e4f5a4e13835017e9a4c21d72017f850a6977b1a19502273baace2.webp,web-derivatives-v1/files/5f671169-a771-b861-f574-7b825a572508.webp
CATV1-P006-R3L,77a924c9-99b2-0a44-6f29-7f447ee96cf6,1afd6208-0431-0eed-cad9-a8910ea3e6b6,POLICY_APPROVED,b54d97a61602fb0f5c87beee805d83de25f8bfb28b0e55072471ddf28e3dce24,1152,image/webp,345,176,lihen-product-web,products/77a924c9-99b2-0a44-6f29-7f447ee96cf6/1afd6208-0431-0eed-cad9-a8910ea3e6b6/web/b54d97a61602fb0f5c87beee805d83de25f8bfb28b0e55072471ddf28e3dce24.webp,web-derivatives-v1/files/1afd6208-0431-0eed-cad9-a8910ea3e6b6.webp
CATV1-P006-R3R,7d950f19-cdc7-aa5e-0c62-d656347a288d,52cf1e51-ebed-01e9-b262-07db7f42af55,POLICY_APPROVED,6a6210367917031e3cad820373f388a5f2b4427ab64b12a13e6384b06ded58c3,1220,image/webp,345,176,lihen-product-web,products/7d950f19-cdc7-aa5e-0c62-d656347a288d/52cf1e51-ebed-01e9-b262-07db7f42af55/web/6a6210367917031e3cad820373f388a5f2b4427ab64b12a13e6384b06ded58c3.webp,web-derivatives-v1/files/52cf1e51-ebed-01e9-b262-07db7f42af55.webp
CATV1-P007-R1L,19839e22-ec06-dc7f-b133-d0864de5d68b,288d9f4f-3ad9-1fac-8f9a-5bec6f8e9a51,POLICY_APPROVED,88d322a0e525316831dfe70bf97d4a997dc951a97bd64f8d465815e7fc97d287,2328,image/webp,345,176,lihen-product-web,products/19839e22-ec06-dc7f-b133-d0864de5d68b/288d9f4f-3ad9-1fac-8f9a-5bec6f8e9a51/web/88d322a0e525316831dfe70bf97d4a997dc951a97bd64f8d465815e7fc97d287.webp,web-derivatives-v1/files/288d9f4f-3ad9-1fac-8f9a-5bec6f8e9a51.webp
CATV1-P007-R1R,cd855167-2338-0311-6fab-f1bb427b38fa,d2384124-10c4-8372-bb12-f2f5247eab8a,POLICY_APPROVED,355706a14c7ecf832735512e4cb85efae42c31268bba4d521a145398fac11cf0,1848,image/webp,345,176,lihen-product-web,products/cd855167-2338-0311-6fab-f1bb427b38fa/d2384124-10c4-8372-bb12-f2f5247eab8a/web/355706a14c7ecf832735512e4cb85efae42c31268bba4d521a145398fac11cf0.webp,web-derivatives-v1/files/d2384124-10c4-8372-bb12-f2f5247eab8a.webp
CATV1-P007-R2L,f45d20fa-a67d-35ae-510c-871a5693550c,e588e1a4-e631-052b-f7a4-4ecb09653276,POLICY_APPROVED,789b6dd5af4b80a920a8bc859505ebfa0421f7bb88bf12df7c7db0a3f03e4621,2432,image/webp,345,176,lihen-product-web,products/f45d20fa-a67d-35ae-510c-871a5693550c/e588e1a4-e631-052b-f7a4-4ecb09653276/web/789b6dd5af4b80a920a8bc859505ebfa0421f7bb88bf12df7c7db0a3f03e4621.webp,web-derivatives-v1/files/e588e1a4-e631-052b-f7a4-4ecb09653276.webp
CATV1-P007-R2R,ac71a320-037b-7278-4d4b-031dda93393d,920923bd-35d2-3454-0083-78d92c696ef5,POLICY_APPROVED,00a66d6f58b65471c73d6aa824a109d28acae65569c305d643fa706861797345,1052,image/webp,345,176,lihen-product-web,products/ac71a320-037b-7278-4d4b-031dda93393d/920923bd-35d2-3454-0083-78d92c696ef5/web/00a66d6f58b65471c73d6aa824a109d28acae65569c305d643fa706861797345.webp,web-derivatives-v1/files/920923bd-35d2-3454-0083-78d92c696ef5.webp
CATV1-P007-R3L,0ecf1f69-602f-2072-1a24-381e9cde1592,43388a2f-aea0-148d-81ff-2a983516dff4,POLICY_APPROVED,ce283fdc5d8d0a18fe4c594ee4a5bb77537640d0bd6ce3c362c8e240a19c5747,3674,image/webp,345,176,lihen-product-web,products/0ecf1f69-602f-2072-1a24-381e9cde1592/43388a2f-aea0-148d-81ff-2a983516dff4/web/ce283fdc5d8d0a18fe4c594ee4a5bb77537640d0bd6ce3c362c8e240a19c5747.webp,web-derivatives-v1/files/43388a2f-aea0-148d-81ff-2a983516dff4.webp
CATV1-P007-R3R,3d6fad27-a2f7-7f34-71f8-afe81d692f27,c08bdb64-d6e2-4623-7fe7-52132932d2cd,POLICY_APPROVED,132c2b39be5db10f5cf04b385fd4acf59f8ca62c894f91388f8269317869b701,3018,image/webp,345,176,lihen-product-web,products/3d6fad27-a2f7-7f34-71f8-afe81d692f27/c08bdb64-d6e2-4623-7fe7-52132932d2cd/web/132c2b39be5db10f5cf04b385fd4acf59f8ca62c894f91388f8269317869b701.webp,web-derivatives-v1/files/c08bdb64-d6e2-4623-7fe7-52132932d2cd.webp
CATV1-P008-R1L,db9858f1-4f26-b8fa-2f2c-58bf37d0feb2,5b57eac7-08a5-37de-fbff-d7755a815479,POLICY_APPROVED,3280f64fafb873f1d736f65ca95605d4330a958dc680f8418a80785cd5ee9484,1282,image/webp,345,176,lihen-product-web,products/db9858f1-4f26-b8fa-2f2c-58bf37d0feb2/5b57eac7-08a5-37de-fbff-d7755a815479/web/3280f64fafb873f1d736f65ca95605d4330a958dc680f8418a80785cd5ee9484.webp,web-derivatives-v1/files/5b57eac7-08a5-37de-fbff-d7755a815479.webp
CATV1-P008-R1R,a96c04c8-674d-7893-b8ae-541b737040df,fb46fa58-ba4d-7d61-b65a-910aa1b50139,POLICY_APPROVED,cb675c6059ca30a1b2f6fc5ecb3fd6af20d530ffa54de07f61e0f7763dc5149e,2672,image/webp,345,176,lihen-product-web,products/a96c04c8-674d-7893-b8ae-541b737040df/fb46fa58-ba4d-7d61-b65a-910aa1b50139/web/cb675c6059ca30a1b2f6fc5ecb3fd6af20d530ffa54de07f61e0f7763dc5149e.webp,web-derivatives-v1/files/fb46fa58-ba4d-7d61-b65a-910aa1b50139.webp
CATV1-P008-R2L,bb778288-e584-f8e6-6714-6f7dbf7266a5,dff4493d-2d7d-6c1a-a94e-abf09142d4f9,POLICY_APPROVED,e7d08d13fa3ef7f0aa0f8f41dfb39cf583ecf2f8d235c2248731922f81e1aed8,1232,image/webp,345,176,lihen-product-web,products/bb778288-e584-f8e6-6714-6f7dbf7266a5/dff4493d-2d7d-6c1a-a94e-abf09142d4f9/web/e7d08d13fa3ef7f0aa0f8f41dfb39cf583ecf2f8d235c2248731922f81e1aed8.webp,web-derivatives-v1/files/dff4493d-2d7d-6c1a-a94e-abf09142d4f9.webp
